datetime,open,high,low,close,volume
2025-02-04 16:00:00,1.03799,1.0388,1.0372,1.03785,11716
2025-02-04 17:00:00,1.03785,1.038,1.0365,1.03767,10676
2025-02-04 18:00:00,1.03764,1.03863,1.0373,1.03812,7820
2025-02-04 19:00:00,1.03808,1.0386,1.0375,1.03819,7690
2025-02-04 20:00:00,1.03812,1.0386,1.0379,1.03851,7046
2025-02-04 21:00:00,1.03855,1.03876,1.0376,1.03782,4164
2025-02-04 22:00:00,1.03782,1.0381,1.03696,1.0377,1044
2025-02-04 23:00:00,1.0378,1.0382,1.037,1.0371,1748
2025-02-05 00:00:00,1.03716,1.03815,1.0369,1.03784,2557
2025-02-05 01:00:00,1.03786,1.03861,1.0372,1.03734,3713
2025-02-05 02:00:00,1.0373,1.0385,1.0371,1.03844,6869
2025-02-05 03:00:00,1.03843,1.03861,1.0378,1.03792,5487
2025-02-05 04:00:00,1.03797,1.0383,1.0375,1.03783,4773
2025-02-05 05:00:00,1.03786,1.0379,1.0372,1.03779,5364
2025-02-05 06:00:00,1.03777,1.0395,1.0373,1.03846,6374
2025-02-05 07:00:00,1.03848,1.04095,1.03819,1.04024,9129
2025-02-05 08:00:00,1.04005,1.0409,1.03903,1.04033,11394
2025-02-05 09:00:00,1.04037,1.04169,1.04,1.04038,10762
2025-02-05 10:00:00,1.04031,1.04305,1.0401,1.04251,9874
2025-02-05 11:00:00,1.04252,1.04253,1.041,1.04147,7879
2025-02-05 12:00:00,1.04139,1.0422,1.0409,1.04195,8004
2025-02-05 13:00:00,1.04189,1.04259,1.04,1.0408,12310
2025-02-05 14:00:00,1.04079,1.0427,1.04058,1.04215,12709
2025-02-05 15:00:00,1.04209,1.04426,1.04142,1.04222,15574
2025-02-05 16:00:00,1.04218,1.04249,1.0409,1.04174,11015
2025-02-05 17:00:00,1.04175,1.04239,1.0409,1.04198,8031
2025-02-05 18:00:00,1.04195,1.0422,1.0413,1.04156,6669
2025-02-05 19:00:00,1.04158,1.04169,1.0404,1.04068,7383
2025-02-05 20:00:00,1.04069,1.0407,1.04,1.04046,6318
2025-02-05 21:00:00,1.04046,1.0407,1.0396,1.0402,4677
2025-02-05 22:00:00,1.0402,1.0407,1.03954,1.04029,751
2025-02-05 23:00:00,1.04026,1.04047,1.0396,1.03981,1605
2025-02-06 00:00:00,1.03984,1.0402,1.0394,1.03971,2426
2025-02-06 01:00:00,1.03973,1.04043,1.0394,1.04022,3124
2025-02-06 02:00:00,1.0402,1.04055,1.039,1.03952,6681
2025-02-06 03:00:00,1.03949,1.03963,1.0388,1.03916,5485
2025-02-06 04:00:00,1.03919,1.0394,1.03849,1.03867,4487
2025-02-06 05:00:00,1.03872,1.03903,1.0385,1.03865,4997
2025-02-06 06:00:00,1.03864,1.03927,1.0384,1.03899,5454
2025-02-06 07:00:00,1.03897,1.0392,1.0377,1.03797,7801
2025-02-06 08:00:00,1.03802,1.0381,1.0355,1.03649,10121
2025-02-06 09:00:00,1.03651,1.0368,1.0355,1.03594,8567
2025-02-06 10:00:00,1.03596,1.03664,1.0354,1.03626,7633
2025-02-06 11:00:00,1.03624,1.0368,1.0357,1.03611,7603
2025-02-06 12:00:00,1.03621,1.03636,1.0352,1.03619,11351
2025-02-06 13:00:00,1.03611,1.03672,1.03529,1.03602,11445
2025-02-06 14:00:00,1.03604,1.0375,1.03594,1.0362,11311
2025-02-06 15:00:00,1.03622,1.03764,1.036,1.03695,12577
2025-02-06 16:00:00,1.03692,1.03761,1.0365,1.03668,9565
2025-02-06 17:00:00,1.03669,1.0381,1.0365,1.03794,7484
2025-02-06 18:00:00,1.03792,1.03965,1.03717,1.03894,9394
2025-02-06 19:00:00,1.03894,1.03914,1.0379,1.03852,6915
2025-02-06 20:00:00,1.03846,1.0391,1.0383,1.03888,5712
2025-02-06 21:00:00,1.03878,1.039,1.03819,1.03822,3296
2025-02-06 22:00:00,1.03823,1.0391,1.0379,1.03811,838
2025-02-06 23:00:00,1.03812,1.0388,1.03808,1.0385,1306
2025-02-07 00:00:00,1.0385,1.03908,1.0376,1.03774,2276
2025-02-07 01:00:00,1.03775,1.03865,1.0373,1.03834,3305
2025-02-07 02:00:00,1.03833,1.03863,1.0379,1.0384,6423
2025-02-07 03:00:00,1.03841,1.0386,1.0376,1.03798,5645
2025-02-07 04:00:00,1.03798,1.0384,1.0375,1.03808,4636
2025-02-07 05:00:00,1.03811,1.0382,1.0373,1.03752,5999
2025-02-07 06:00:00,1.03752,1.0378,1.0371,1.03755,5957
2025-02-07 07:00:00,1.03761,1.03902,1.0373,1.03889,6472
2025-02-07 08:00:00,1.0389,1.04,1.03849,1.03979,8044
2025-02-07 09:00:00,1.03976,1.03993,1.0389,1.03911,7805
2025-02-07 10:00:00,1.0391,1.0392,1.0378,1.03814,7115
2025-02-07 11:00:00,1.03814,1.03841,1.0376,1.03824,6529
2025-02-07 12:00:00,1.03818,1.03824,1.03677,1.03744,7551
2025-02-07 13:00:00,1.03743,1.04109,1.03478,1.03638,14132
2025-02-07 14:00:00,1.03633,1.03887,1.03608,1.03842,13644
2025-02-07 15:00:00,1.03829,1.03878,1.0326,1.0355,15528
2025-02-07 16:00:00,1.03546,1.03551,1.03219,1.03275,16299
2025-02-07 17:00:00,1.03278,1.03603,1.0305,1.03219,14293
2025-02-07 18:00:00,1.03206,1.03359,1.032,1.03251,6823
2025-02-07 19:00:00,1.0325,1.03369,1.0323,1.0332,6555
2025-02-07 20:00:00,1.03325,1.03383,1.0321,1.03277,6435
2025-02-07 21:00:00,1.03277,1.0333,1.03236,1.0328,4563
2025-02-09 22:00:00,1.02883,1.03008,1.02839,1.02895,749
2025-02-09 23:00:00,1.02916,1.03133,1.02916,1.03093,1856
2025-02-10 00:00:00,1.03094,1.0319,1.0308,1.031,2798
2025-02-10 01:00:00,1.03099,1.03143,1.0299,1.03027,3626
2025-02-10 02:00:00,1.03027,1.0307,1.0297,1.0299,5429
2025-02-10 03:00:00,1.02996,1.0312,1.0298,1.03115,4345
2025-02-10 04:00:00,1.03115,1.0316,1.031,1.0313,3757
2025-02-10 05:00:00,1.03131,1.0322,1.0312,1.0316,4166
2025-02-10 06:00:00,1.03162,1.032,1.0311,1.03185,4899
2025-02-10 07:00:00,1.03189,1.03256,1.0308,1.03127,8344
2025-02-10 08:00:00,1.03129,1.0323,1.0306,1.03221,10184
2025-02-10 09:00:00,1.03219,1.0336,1.03209,1.03261,8653
2025-02-10 10:00:00,1.03252,1.03337,1.0322,1.033,7059
2025-02-10 11:00:00,1.03293,1.0337,1.0319,1.03207,7474
